#Time TotalMass(kg) flux(inlet) flux(outlet)
805.344 0 0 0
811.787 0 0 0
819.509 0 0 0
827.217 0 0 0
834.912 0 0 0
842.594 0 0 0
850.264 0 0 0
857.914 0 0 0
865.552 0 0 0
873.177 0 0 0
880.789 0 0 0
888.388 0 0 0
895.968 0 0 0
903.536 0 0 0
911.091 0 0 0
918.634 0 0 0
926.164 0 0 0
933.694 0 0 0
941.224 0 0 0
948.755 0 0 0
956.285 0 0 0
963.815 0 0 0
971.345 0 0 0
978.875 0 0 0
986.405 0 0 0
993.935 0 0 0
1001.47 0 0 0
1009 0 0 0
1016.53 0 0 0
1024.06 0 0 0
1031.59 0 0 0
1039.12 0 0 0
1046.65 0 0 0
1054.18 0 0 0
1061.71 0 0 0
1069.24 0 0 0
1076.77 0 0 0
1084.3 0 0 0
1091.83 0 0 0
1099.36 0 0 0
1106.89 0 0 0
1114.42 0 0 0
1121.95 0 0 0
1129.48 0 0 0
1137.01 0 0 0
1144.54 0 0 0
1152.07 0 0 0
1159.6 0 0 0
1167.13 0 0 0
1174.66 0 0 0
1182.19 0 0 0
1189.72 0 0 0
1197.25 0 0 0
1204.78 0 0 0
1212.31 0 0 0
1219.84 0 0 0
1227.37 0 0 0
1234.9 0 0 0
1242.43 0 0 0
1251.46 0 0 0
1260.47 0 0 0
1269.45 0 0 0
1278.41 0 0 0
1287.36 0 0 0
1296.28 0 0 0
1305.18 0 0 0
1314.06 0 0 0
1322.91 0 0 0
1331.75 0 0 0
1340.56 0 0 0
1349.35 0 0 0
1358.12 0 0 0
1366.87 0 0 0
1375.6 0 0 0
1384.31 0 0 0
1393 0 0 0
1401.66 0 0 0
1410.3 0 0 0
1418.93 0 0 0
1427.54 0 0 0
1436.12 0 0 0
1444.68 0 0 0
1453.22 0 0 0
1461.74 0 0 0
1470.24 0 0 0
1478.72 0 0 0
1487.19 0 0 0
1495.62 0 0 0
1504.04 0 0 0
1512.45 0 0 0
1520.82 0 0 0
1529.19 0 0 0
1537.52 0 0 0
1545.84 0 0 0
1554.14 0 0 0
1562.42 0 0 0
1570.68 0 0 0
1578.92 0 0 0
1587.14 0 0 0
1595.36 0 0 0
1603.59 0 0 0
1611.81 0 0 0
1620.04 0 0 0
1628.26 0 0 0
1636.48 0 0 0
1644.71 0 0 0
1652.93 0 0 0
1661.15 0 0 0
1671 0 0 0
1680.81 0 0 0
1690.6 0 0 0
1700.35 0 0 0
1710.08 0 0 0
1719.78 0 0 0
