0.00106054 -0.751043 
0.00689350 -0.746407 
0.0124613 -0.748725 
0.0190897 -0.760315 
0.0252762 -0.755679 
0.0314627 -0.753361 
0.0364118 -0.741771 
0.0424216 -0.757997 
0.0492267 -0.762633 
0.0547061 -0.757997 
0.0607159 -0.771905 
0.0666372 -0.767269 
0.0732656 -0.778860 
0.0783031 -0.764951 
0.0847548 -0.778860 
0.0908528 -0.795086 
0.0969509 -0.776541 
0.103137 -0.781178 
0.109147 -0.781178 
0.115068 -0.790450 
0.121167 -0.774223 
0.126911 -0.781178 
0.132391 -0.788132 
0.138842 -0.788132 
0.145736 -0.808994 
0.151745 -0.797404 
0.156960 -0.804358 
0.162793 -0.822902 
0.169598 -0.832174 
0.175431 -0.829856 
0.180999 -0.839128 
0.187450 -0.839128 
0.193372 -0.843764 
0.198763 -0.864627 
0.205303 -0.873899 
0.211754 -0.878535 
0.217322 -0.885489 
0.223685 -0.897079 
0.229430 -0.906351 
0.236147 -0.924896 
0.241008 -0.929532 
0.246929 -0.961984 
0.252585 -0.964302 
0.259302 -0.987483 
0.265488 -0.999073 
0.270614 -1.00834 
0.277154 -1.03153 
0.283871 -1.04312 
0.288820 -1.05934 
0.295183 -1.08948 
0.301458 -1.10570 
0.306761 -1.11729 
0.312947 -1.15206 
0.319222 -1.17293 
0.323730 -1.21001 
0.330535 -1.24942 
0.336633 -1.27724 
0.342908 -1.32128 
0.348652 -1.36300 
0.354043 -1.42327 
0.360848 -1.49977 
0.367300 -1.58554 
0.372161 -1.67594 
0.379054 -1.80343 
0.383915 -1.94947 
0.390367 -2.18359 
0.395935 -2.48493 
0.402298 -3.00417 
0.408661 -3.93139 
0.413964 -5.99212 
0.419708 -9.18869 
0.426513 -10 
